file_path,module_complexity,code_churn,past_bugs,test_failures,defect_likely
C:\Users\HP\Django\Django-CRM\emails\tests.py,1.1904761904761905,443,4,21,1
C:\Users\HP\Django\Django-CRM\emails\views.py,2.642857142857143,174,4,0,1
C:\Users\HP\Django\Django-CRM\emails\migrations\0001_initial.py,1.0,189,0,0,1
C:\Users\HP\Django\Django-CRM\events\apps.py,1.0,7,1,0,0
C:\Users\HP\Django\Django-CRM\events\models.py,1.1666666666666667,232,4,0,1
C:\Users\HP\Django\Django-CRM\events\serializer.py,2.272727272727273,361,0,0,1
C:\Users\HP\Django\Django-CRM\events\tasks.py,4.0,297,5,0,1
C:\Users\HP\Django\Django-CRM\events\tests_celery_tasks.py,1.5,28,2,1,0
C:\Users\HP\Django\Django-CRM\events\views.py,6.235294117647059,3808,10,0,1
C:\Users\HP\Django\Django-CRM\events\migrations\0001_initial.py,1.0,465,1,0,1
C:\Users\HP\Django\Django-CRM\invoices\api_views.py,8.0,1452,0,0,1
C:\Users\HP\Django\Django-CRM\invoices\apps.py,1.0,7,1,0,0
C:\Users\HP\Django\Django-CRM\invoices\forms.py,2.857142857142857,303,4,0,1
C:\Users\HP\Django\Django-CRM\invoices\models.py,1.5238095238095237,563,5,0,1
C:\Users\HP\Django\Django-CRM\invoices\serializer.py,2.0,317,0,0,1
C:\Users\HP\Django\Django-CRM\invoices\tasks.py,3.75,391,5,0,1
C:\Users\HP\Django\Django-CRM\invoices\tests.py,1.5,1082,2,55,1
C:\Users\HP\Django\Django-CRM\invoices\tests_celery_tasks.py,1.5,60,2,3,0
C:\Users\HP\Django\Django-CRM\invoices\migrations\0001_initial.py,1.0,1391,1,0,1
C:\Users\HP\Django\Django-CRM\leads\apps.py,1.0,2,0,0,0
C:\Users\HP\Django\Django-CRM\leads\forms.py,5.6,751,15,0,1
C:\Users\HP\Django\Django-CRM\leads\models.py,1.3,557,11,0,1
C:\Users\HP\Django\Django-CRM\leads\serializer.py,2.0714285714285716,648,1,0,1
C:\Users\HP\Django\Django-CRM\leads\tasks.py,3.1666666666666665,561,8,0,1
C:\Users\HP\Django\Django-CRM\leads\tests_celery_tasks.py,1.5,257,2,5,1
C:\Users\HP\Django\Django-CRM\leads\views.py,5.724137931034483,9534,33,0,1
C:\Users\HP\Django\Django-CRM\leads\migrations\0001_initial.py,1.0,800,0,0,1
C:\Users\HP\Django\Django-CRM\leads\migrations\0002_alter_lead_created_by.py,1.0,63,0,0,0
C:\Users\HP\Django\Django-CRM\opportunity\apps.py,1.0,2,0,0,0
C:\Users\HP\Django\Django-CRM\opportunity\models.py,1.1666666666666667,293,7,0,1
C:\Users\HP\Django\Django-CRM\opportunity\serializer.py,1.75,283,0,0,1
C:\Users\HP\Django\Django-CRM\opportunity\tasks.py,3.0,198,5,0,1
C:\Users\HP\Django\Django-CRM\opportunity\tests_celery_tasks.py,1.5,38,1,1,0
C:\Users\HP\Django\Django-CRM\opportunity\views.py,6.9375,6361,18,0,1
C:\Users\HP\Django\Django-CRM\opportunity\migrations\0001_initial.py,1.0,1248,0,0,1
C:\Users\HP\Django\Django-CRM\opportunity\migrations\0002_alter_opportunity_created_by.py,1.0,42,0,0,0
C:\Users\HP\Django\Django-CRM\planner\apps.py,1.0,2,0,0,0
C:\Users\HP\Django\Django-CRM\planner\forms.py,1.0,62,3,0,0
C:\Users\HP\Django\Django-CRM\planner\models.py,1.5,246,1,0,1
C:\Users\HP\Django\Django-CRM\planner\migrations\0001_initial.py,1.0,883,0,0,1
C:\Users\HP\Django\Django-CRM\tasks\apps.py,1.0,7,1,0,0
C:\Users\HP\Django\Django-CRM\tasks\celery_tasks.py,3.0,213,5,0,1
C:\Users\HP\Django\Django-CRM\tasks\models.py,1.2,233,4,0,1
C:\Users\HP\Django\Django-CRM\tasks\serializer.py,1.8571428571428572,268,0,0,1
C:\Users\HP\Django\Django-CRM\tasks\tests_celery_tasks.py,1.5,38,2,1,0
C:\Users\HP\Django\Django-CRM\tasks\views.py,5.176470588235294,3290,9,0,1
C:\Users\HP\Django\Django-CRM\tasks\migrations\0001_initial.py,1.0,387,1,0,1
C:\Users\HP\Django\Django-CRM\tasks\migrations\0002_alter_task_created_by.py,1.0,42,0,0,0
C:\Users\HP\Django\Django-CRM\teams\apps.py,1.0,12,2,0,0
C:\Users\HP\Django\Django-CRM\teams\models.py,1.5,192,4,0,1
C:\Users\HP\Django\Django-CRM\teams\serializer.py,2.2,198,0,0,1
C:\Users\HP\Django\Django-CRM\teams\tasks.py,26.0,257,2,0,1
C:\Users\HP\Django\Django-CRM\teams\views.py,4.666666666666667,2340,7,0,1
C:\Users\HP\Django\Django-CRM\teams\migrations\0001_initial.py,1.0,193,2,0,1
C:\Users\HP\Django\Django-CRM\teams\migrations\0002_alter_teams_table.py,1.0,51,0,0,0
C:\Users\HP\Django\Django-CRM\teams\migrations\0003_alter_teams_created_by.py,1.0,63,0,0,0
